"Exemplar.1","Exemplar.2","Group","Jaccard"
9,17,"P6M",0.1
9,18,"P6M",0.158
9,19,"P6M",0.294
9,20,"P6M",0.222
10,11,"P6M",0.1
10,12,"P6M",0.048
10,13,"P6M",0.294
10,14,"P6M",0.375
10,15,"P6M",0.158
10,16,"P6M",0.294
10,17,"P6M",0.158
10,18,"P6M",0.048
10,19,"P6M",0.375
10,20,"P6M",0.375
11,12,"P6M",0.222
11,13,"P6M",0.158
11,14,"P6M",0.048
11,15,"P6M",0.294
11,16,"P6M",0.048
11,17,"P6M",0.158
11,18,"P6M",0.1
11,19,"P6M",0.158
11,20,"P6M",0.1
12,13,"P6M",0.048
12,14,"P6M",0
12,15,"P6M",0.375
12,16,"P6M",0.048
12,17,"P6M",0.048
12,18,"P6M",0.222
12,19,"P6M",0.222
12,20,"P6M",0
13,14,"P6M",0.222
13,15,"P6M",0.222
13,16,"P6M",0.467
13,17,"P6M",0.158
13,18,"P6M",0.1
13,19,"P6M",0.158
13,20,"P6M",0.294
14,15,"P6M",0
14,16,"P6M",0.294
14,17,"P6M",0.158
14,18,"P6M",0.048
14,19,"P6M",0.222
14,20,"P6M",0.294
15,16,"P6M",0.1
15,17,"P6M",0.1
15,18,"P6M",0.375
15,19,"P6M",0.222
15,20,"P6M",0.158
16,17,"P6M",0.048
16,18,"P6M",0.158
16,19,"P6M",0.158
16,20,"P6M",0.294
17,18,"P6M",0
17,19,"P6M",0.158
17,20,"P6M",0.158
18,19,"P6M",0.158
18,20,"P6M",0.1
19,20,"P6M",0.222
